panel	gene
Leukocyte	PTPRC
T_cell	CD3D
T_cell	CD3E
T_cell	CD3G
T_cell	CD4
T_cell	CD8A
T_cell	TRAC
T_cell	LCK
T_cell	IL7R
B_cell	CD19
B_cell	MS4A1
B_cell	CD22
B_cell	CD79A
B_cell	CD79B
B_cell	IGHM
B_cell	IGKC
NK_cell	NCR1
NK_cell	KLRD1
NK_cell	NCAM1
NK_cell	NKG7
NK_cell	GNLY
NK_cell	PRF1
NK_cell	GZMB
Astrocyte	GFAP
Astrocyte	AQP4
Astrocyte	S100B
Astrocyte	ALDH1L1
Astrocyte	SLC1A3
Astrocyte	SLC1A2
Oligodendrocyte_lineage	OLIG2
Oligodendrocyte_lineage	SOX10
Oligodendrocyte	MBP
Oligodendrocyte	PLP1
Oligodendrocyte	MOG
Oligodendrocyte	MAG
Oligodendrocyte	CLDN11
OPC	PDGFRA
OPC	CSPG4
OPC	OLIG2
OPC	OLIG1
OPC	SOX10
OPC	NKX2-2
Endothelial	CLDN5
Endothelial	VWF
Endothelial	FLT1
Pericyte	PDGFRB
Pericyte	RGS5
Pericyte	CSPG4
Pericyte	ANPEP
vSMC	ACTA2
vSMC	MCAM
vSMC	DES
vSMC	TAGLN
Fibroblast	PDGFRA
Fibroblast	COL1A1
Fibroblast	COL1A2
Fibroblast	FAP
Monocyte	VCAN
Monocyte	CCR2
Monocyte	CD14
Monocyte	FCN1
Monocyte	LYZ
Monocyte	S100A8
Monocyte	S100A9
Monocyte	S100A12
Macrophage	CD68
Macrophage	C1QA
Macrophage	SPP1
Macrophage	MRC1
Macrophage	APOE
Macrophage	APOC1
cDC	CD1C
cDC	CLEC10A
cDC	FCER1A
cDC	HLA-DRA
pDC	IL3RA
pDC	CLEC4C
pDC	LILRA4
pDC	GZMB
Microglia	P2RY12
Microglia	TMEM119
Microglia	SALL1
Microglia	CX3CR1
Microglia	P2RY12
Microglia	TMEM119
Microglia	SALL1
Microglia	CX3CR1
